Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
1.015.11b,b,G,H,L,H,H,L,H,L,H
1.015.11c,c,G,L,L,H,H,L,H,L,H
1.015.12a,a,G,H,L,H,H,L,H,L,L
1.015.12b,b,G,L,L,H,H,L,H,L,L
1.015.12c,c,G,H,H,H,L,L,H,L,L
1.016.01a,a,G,H,H,L,H,L,L,L,H
1.016.01b,b,G,L,L,H,H,L,H,L,H
1.016.01c,c,G,H,L,H,H,L,H,L,L
1.016.02a,a,G,L,H,H,H,L,H,L,H
1.016.02b,b,G,L,L,L,H,L,H,L,L
1.016.02c,c,G,H,H,L,L,L,H,L,H
1.016.03a,a,G,H,H,H,H,L,H,L,L
1.016.03b,b,G,H,H,L,L,L,H,L,H
1.016.03c,c,G,H,H,H,H,L,H,L,H
1.016.04a,a,G,L,L,H,L,L,H,L,L
1.016.04b,b,G,L,L,L,H,L,H,L,L
1.016.04c,c,G,L,H,L,H,L,H,L,H
1.016.05a,a,G,H,H,L,H,L,H,L,L
1.016.05b,b,G,L,H,H,L,L,H,L,L
1.016.05c,c,G,H,H,L,L,L,H,L,L
1.016.06a,a,G,L,H,H,H,L,H,L,L
1.016.06b,b,G,L,H,H,L,L,H,L,L
1.016.06c,c,G,H,H,L,L,L,H,L,L
1.016.07a,a,G,L,H,H,H,L,H,L,H
1.016.07b,b,G,L,H,L,H,L,H,L,L
1.016.07c,c,G,L,H,H,H,L,H,L,L
1.016.08a,a,G,H,L,H,L,L,H,L,L
1.016.08b,b,G,H,H,L,H,L,L,L,L
1.016.08c,c,G,H,L,H,H,L,H,L,H
1.016.09a,a,G,H,H,H,H,L,H,L,L
1.016.09b,b,G,H,L,H,H,L,H,L,H
1.016.09c,c,G,L,H,L,H,L,H,L,L
1.017.01a,a,G,H,H,L,L,L,H,L,L
1.017.01b,b,G,H,H,H,L,L,H,L,H
1.017.01c,c,G,H,H,H,H,L,H,L,H
1.017.03a,a,G,L,L,H,H,H,L,H,H
1.017.03b,b,G,H,H,L,L,L,H,L,H
1.017.03c,c,G,H,H,H,H,L,H,L,H
1.017.06a,a,G,L,H,L,L,L,H,L,L
1.017.06b,b,G,L,H,L,L,L,H,L,L
1.017.06c,c,G,L,H,L,L,L,H,L,L
1.017.07a,a,G,H,H,L,L,L,H,L,L
1.017.07b,b,G,L,H,H,H,L,H,L,H
1.017.07c,c,G,H,H,L,H,L,H,L,L
1.017.08a,a,G,H,H,L,L,L,H,L,H
1.017.08b,b,G,L,H,H,H,L,H,L,H
1.017.08c,c,G,H,H,H,H,L,L,L,L
